ID,TotalDollarValueTraded,TotalUnitsTraded,LargestSingleTransaction,SmallestSingleTransaction,PercentChangeCalculation,DaysSinceLastLogin,DaysSinceLastTrade,NetRealizedGains_YTD,NetRealizedLosses_YTD
420,20412.04,80,10206.02,1020.602,20,3,10,1020.602,0
421,8320.83,55,2080.2075,208.02075,8.25,1,15,0,208.02075
422,14271.43,45,7135.715,713.5715,11.25,4,5,713.5715,0
423,22992.3,65,11496.15,1149.615,16.25,1,6,1149.615,0
424,12341.23,7,6170.615,617.0615,1.75,2,10,0,617.0615
425,27832.78,48,13916.39,1391.639,12,4,6,0,1391.639
426,22242.22,64,11121.11,1112.111,16,3,7,1112.111,0
427,14391.44,8,7195.72,719.572,2,3,7,719.572,0
428,29672.97,99,14836.485,1483.6485,24.75,3,5,0,1483.6485
429,16391.64,30,8195.82,819.582,7.5,4,10,819.582,0
430,26012.6,108,13006.3,1300.63,27,4,7,0,1300.63
431,22962.3,75,11481.15,1148.115,18.75,3,8,1148.115,0
432,8740.87,22,2185.2175,218.52175,3.3,2,11,0,218.52175
433,21942.19,256,10971.095,1097.1095,64,5,9,0,1097.1095
434,28422.84,113,14211.42,1421.142,28.25,5,7,0,1421.142
435,7700.77,43,1925.1925,192.51925,6.45,1,13,0,192.51925
436,14421.44,73,7210.72,721.072,18.25,1,9,721.072,0
437,20452.05,90,10226.025,1022.6025,22.5,5,7,1022.6025,0
438,16201.62,18,8100.81,810.081,4.5,1,5,0,810.081
439,29552.96,62,14776.48,1477.648,15.5,4,8,1477.648,0
440,1520.15,29,380.0375,38.00375,4.35,1,10,0,38.00375
441,17371.74,51,8685.87,868.587,12.75,4,9,868.587,0
442,0,0,0,0,0,0,0,0,0
443,18971.9,104,9485.95,948.595,26,4,9,948.595,0
444,170.02,10,42.505,4.2505,1.5,4,20,0,8.501
445,15271.53,25,7635.765,763.5765,6.25,1,7,0,763.5765
446,29682.97,59,14841.485,1484.1485,14.75,2,7,0,1484.1485
447,18941.89,25,9470.945,947.0945,6.25,5,6,947.0945,0
448,26402.64,17,13201.32,1320.132,4.25,1,9,0,1320.132
449,410.04,208,102.51,10.251,31.2,4,14,0,10.251
450,23172.32,51,11586.16,1158.616,12.75,5,9,0,1158.616
451,4910.49,82,1227.6225,122.76225,12.3,4,18,0,245.5245
452,6690.67,43,1672.6675,167.26675,6.45,2,18,0,334.5335
453,6970.7,184,1742.675,174.2675,27.6,2,11,0,174.2675
454,6700.67,46,1675.1675,167.51675,6.9,1,18,0,335.0335
455,27282.73,93,13641.365,1364.1365,23.25,3,10,0,1364.1365
456,7720.77,9,1930.1925,193.01925,1.35,3,15,0,386.0385
457,0,0,0,0,0,0,0,0,0
458,26612.66,236,13306.33,1330.633,59,4,10,1330.633,0
459,7420.74,7,1855.185,185.5185,1.05,4,18,0,371.037
460,25032.5,54,12516.25,1251.625,13.5,3,7,1251.625,0
461,20012,84,10006,1000.6,21,4,5,1000.6,0
462,2540.25,164,635.0625,63.50625,24.6,4,13,0,63.50625
463,12891.29,53,6445.645,644.5645,13.25,4,6,0,644.5645
464,6900.69,128,1725.1725,172.51725,19.2,3,16,0,345.0345
465,0,0,0,0,0,0,0,0,0
466,9130.91,47,2282.7275,228.27275,7.05,2,11,0,228.27275
467,7120.71,20,1780.1775,178.01775,3,2,14,0,178.01775
468,21682.17,17,10841.085,1084.1085,4.25,3,5,1084.1085,0
469,25772.58,8,12886.29,1288.629,2,2,9,0,1288.629
470,690.07,112,172.5175,17.25175,16.8,1,13,0,17.25175
471,0,0,0,0,0,0,0,0,0
472,24392.44,60,12196.22,1219.622,15,5,7,0,1219.622
473,10361.04,72,5180.52,518.052,18,2,5,0,518.052
474,27392.74,51,13696.37,1369.637,12.75,4,9,1369.637,0
475,29732.97,35,14866.485,1486.6485,8.75,5,6,1486.6485,0
476,20442.04,100,10221.02,1022.102,25,2,7,0,1022.102
477,2000.2,65,500.05,50.005,9.75,4,15,0,100.01
478,19241.92,118,9620.96,962.096,29.5,5,8,0,962.096
479,17011.7,27,8505.85,850.585,6.75,2,6,850.585,0
480,10871.09,32,5435.545,543.5545,8,1,9,0,543.5545
481,21872.19,192,10936.095,1093.6095,48,1,7,1093.6095,0
482,8650.87,77,2162.7175,216.27175,11.55,4,12,0,216.27175
483,20862.09,19,10431.045,1043.1045,4.75,2,7,0,1043.1045
484,15321.53,6,7660.765,766.0765,1.5,5,5,0,766.0765
485,17491.75,106,8745.875,874.5875,26.5,5,10,874.5875,0
486,8580.86,37,2145.215,214.5215,5.55,4,16,0,429.043
487,11141.11,12,5570.555,557.0555,3,5,7,0,557.0555
488,2400.24,50,600.06,60.006,7.5,4,17,0,120.012
489,9900.99,8,2475.2475,247.52475,1.2,4,16,0,495.0495
490,5590.56,23,1397.64,139.764,3.45,2,20,0,279.528
491,29782.98,66,14891.49,1489.149,16.5,3,6,0,1489.149
492,27702.77,124,13851.385,1385.1385,31,3,9,0,1385.1385
493,0,0,0,0,0,0,0,0,0
494,29002.9,160,14501.45,1450.145,40,1,6,0,1450.145
495,2840.28,24,710.07,71.007,3.6,2,14,0,71.007
496,22462.25,43,11231.125,1123.1125,10.75,3,10,0,1123.1125
497,1030.1,83,257.525,25.7525,12.45,4,14,0,25.7525
498,3760.38,5,940.095,94.0095,0.75,2,13,0,94.0095
499,20892.09,106,10446.045,1044.6045,26.5,2,6,0,1044.6045
500,30003,262,15001.5,1500.15,65.5,1,5,1500.15,0
501,22202.22,82,11101.11,1110.111,20.5,3,8,0,1110.111
502,11721.17,5,5860.585,586.0585,1.25,5,10,586.0585,0
503,40004,99,20002,2000.2,24.75,4,5,0,2000.2
504,26002.6,26,13001.3,1300.13,6.5,4,7,0,1300.13
505,27002.7,154,13501.35,1350.135,38.5,2,7,1350.135,0
506,26002.6,61,13001.3,1300.13,15.25,2,9,1300.13,0
507,33003.3,35,16501.65,1650.165,8.75,5,7,1650.165,0
508,33003.3,9,16501.65,1650.165,2.25,3,6,0,1650.165
509,37003.7,38,18501.85,1850.185,9.5,4,8,0,1850.185
510,28452.85,106,14226.425,1422.6425,26.5,4,6,1422.6425,0
511,13961.4,96,6980.7,698.07,24,4,7,698.07,0
512,21002.1,6,10501.05,1050.105,1.5,4,10,0,1050.105
513,29492.95,13,14746.475,1474.6475,3.25,1,8,1474.6475,0
514,14001.4,88,7000.7,700.07,22,5,7,0,700.07
515,6780.68,132,1695.17,169.517,19.8,5,13,0,169.517
516,11811.18,5,5905.59,590.559,1.25,4,9,0,590.559
517,3670.37,25,917.5925,91.75925,3.75,1,19,0,183.5185
518,14161.42,214,7080.71,708.071,53.5,1,9,708.071,0
519,2000.2,100,500.05,50.005,15,5,12,0,50.005
520,2000.2,40,500.05,50.005,6,2,13,0,50.005
521,2000.2,6,500.05,50.005,0.9,2,20,0,100.01
522,2000.2,49,500.05,50.005,7.35,1,15,0,100.01
523,2000.2,43,500.05,50.005,6.45,4,16,0,100.01
524,28112.81,17,14056.405,1405.6405,4.25,3,9,0,1405.6405
525,12401.24,89,6200.62,620.062,22.25,4,9,620.062,0
526,12231.22,45,6115.61,611.561,11.25,1,6,0,611.561
527,12861.29,18,6430.645,643.0645,4.5,4,10,643.0645,0
528,2330.23,23,582.5575,58.25575,3.45,3,11,0,58.25575
529,5030.5,76,1257.625,125.7625,11.4,5,16,0,251.525
530,21412.14,85,10706.07,1070.607,21.25,4,6,0,1070.607
531,3010.3,37,752.575,75.2575,5.55,5,13,0,75.2575
532,20922.09,9,10461.045,1046.1045,2.25,4,8,0,1046.1045
533,3300.33,40,825.0825,82.50825,6,1,16,0,165.0165
534,18601.86,8,9300.93,930.093,2,2,9,930.093,0
535,20832.08,117,10416.04,1041.604,29.25,2,7,0,1041.604
536,21642.16,87,10821.08,1082.108,21.75,3,5,1082.108,0
537,13351.34,8,6675.67,667.567,2,3,5,667.567,0
538,490.05,15,122.5125,12.25125,2.25,1,14,0,12.25125
539,28702.87,60,14351.435,1435.1435,15,1,10,0,1435.1435
540,24242.42,5,12121.21,1212.121,1.25,2,9,1212.121,0
541,28822.88,97,14411.44,1441.144,24.25,2,10,1441.144,0
542,29932.99,40,14966.495,1496.6495,10,2,6,0,1496.6495
543,0,0,0,0,0,0,0,0,0
544,29112.91,9,14556.455,1455.6455,2.25,5,5,1455.6455,0
545,13471.35,40,6735.675,673.5675,10,2,9,0,673.5675
546,23502.35,10,11751.175,1175.1175,2.5,3,9,1175.1175,0
547,16141.61,126,8070.805,807.0805,31.5,5,5,807.0805,0
548,16021.6,114,8010.8,801.08,28.5,5,8,0,801.08
549,7740.77,6,1935.1925,193.51925,0.9,5,20,0,387.0385
550,21332.13,87,10666.065,1066.6065,21.75,3,10,1066.6065,0
551,870.09,11,217.5225,21.75225,1.65,5,13,0,21.75225
552,18021.8,136,9010.9,901.09,34,4,9,0,901.09
553,8090.81,13,2022.7025,202.27025,1.95,5,18,0,404.5405
554,6890.69,6,1722.6725,172.26725,0.9,1,12,0,172.26725
555,23562.36,206,11781.18,1178.118,51.5,5,7,1178.118,0
556,29782.98,45,14891.49,1489.149,11.25,4,8,0,1489.149
557,24812.48,22,12406.24,1240.624,5.5,1,10,1240.624,0
558,26132.61,32,13066.305,1306.6305,8,4,6,0,1306.6305
559,5030.5,23,1257.625,125.7625,3.45,2,20,0,251.525
560,12451.25,46,6225.625,622.5625,11.5,5,10,0,622.5625
561,26522.65,32,13261.325,1326.1325,8,3,9,1326.1325,0
562,20222.02,13,10111.01,1011.101,3.25,1,6,1011.101,0
563,9380.94,38,2345.235,234.5235,5.7,5,18,0,469.047
564,9650.97,6,2412.7425,241.27425,0.9,1,14,0,241.27425
565,17441.74,49,8720.87,872.087,12.25,2,6,872.087,0
566,22392.24,178,11196.12,1119.612,44.5,3,5,1119.612,0
567,370.04,28,92.51,9.251,4.2,3,10,0,9.251
568,22172.22,13,11086.11,1108.611,3.25,3,9,0,1108.611
569,28922.89,45,14461.445,1446.1445,11.25,3,8,1446.1445,0
570,26492.65,12,13246.325,1324.6325,3,4,8,1324.6325,0
571,13191.32,87,6595.66,659.566,21.75,4,10,0,659.566
572,13321.33,56,6660.665,666.0665,14,2,8,666.0665,0
573,11541.15,22,5770.575,577.0575,5.5,1,10,0,577.0575
574,14831.48,25,7415.74,741.574,6.25,4,10,0,741.574
575,20952.1,15,10476.05,1047.605,3.75,4,8,1047.605,0
576,4790.48,91,1197.62,119.762,13.65,4,20,0,239.524
577,16791.68,81,8395.84,839.584,20.25,2,7,839.584,0
578,3280.33,11,820.0825,82.00825,1.65,1,16,0,164.0165
579,12531.25,311,6265.625,626.5625,77.75,2,9,626.5625,0
580,11051.11,50,5525.555,552.5555,12.5,5,5,0,552.5555
581,21372.14,293,10686.07,1068.607,73.25,5,5,0,1068.607
582,0,0,0,0,0,0,0,0,0
583,12371.24,163,6185.62,618.562,40.75,1,7,618.562,0
584,0,0,0,0,0,0,0,0,0
585,18311.83,59,9155.915,915.5915,14.75,4,8,915.5915,0
586,20452.05,39,10226.025,1022.6025,9.75,3,7,0,1022.6025
587,26912.69,9,13456.345,1345.6345,2.25,1,9,0,1345.6345
588,28822.88,13,14411.44,1441.144,3.25,1,7,0,1441.144
589,23762.38,50,11881.19,1188.119,12.5,3,5,0,1188.119
590,9570.96,111,2392.74,239.274,16.65,3,11,0,239.274
591,20972.1,13,10486.05,1048.605,3.25,5,7,1048.605,0
592,11701.17,47,5850.585,585.0585,11.75,1,7,585.0585,0
593,14221.42,10,7110.71,711.071,2.5,3,10,711.071,0
594,18851.89,31,9425.945,942.5945,7.75,1,8,942.5945,0
595,16801.68,56,8400.84,840.084,14,4,6,0,840.084
596,15591.56,24,7795.78,779.578,6,2,7,779.578,0
597,8210.82,45,2052.705,205.2705,6.75,3,19,0,410.541
598,2910.29,17,727.5725,72.75725,2.55,2,16,0,145.5145
599,11641.16,74,5820.58,582.058,18.5,5,10,0,582.058
600,16211.62,125,8105.81,810.581,31.25,1,9,0,810.581
601,24702.47,73,12351.235,1235.1235,18.25,4,9,1235.1235,0
602,9370.94,11,2342.735,234.2735,1.65,2,19,0,468.547
603,20532.05,41,10266.025,1026.6025,10.25,5,9,0,1026.6025
604,22862.29,16,11431.145,1143.1145,4,3,7,1143.1145,0
605,2150.22,85,537.555,53.7555,12.75,3,12,0,53.7555
606,29442.94,104,14721.47,1472.147,26,3,8,0,1472.147
607,22382.24,40,11191.12,1119.112,10,1,7,0,1119.112
608,16041.6,10,8020.8,802.08,2.5,2,6,0,802.08
609,2000.2,11,500.05,50.005,1.65,1,19,0,100.01
610,25532.55,179,12766.275,1276.6275,44.75,4,6,1276.6275,0
611,27972.8,58,13986.4,1398.64,14.5,2,6,1398.64,0
612,22792.28,20,11396.14,1139.614,5,3,7,1139.614,0
613,29862.99,52,14931.495,1493.1495,13,1,5,1493.1495,0
614,27722.77,57,13861.385,1386.1385,14.25,5,5,1386.1385,0
615,3040.3,44,760.075,76.0075,6.6,4,14,0,76.0075
616,22152.22,34,11076.11,1107.611,8.5,2,8,1107.611,0
617,20592.06,112,10296.03,1029.603,28,1,8,0,1029.603
618,0,0,0,0,0,0,0,0,0
619,15541.55,12,7770.775,777.0775,3,3,5,0,777.0775
620,2000.2,12,500.05,50.005,1.8,2,15,0,100.01
621,22662.27,27,11331.135,1133.1135,6.75,2,9,1133.1135,0
622,28522.85,161,14261.425,1426.1425,40.25,3,5,1426.1425,0
623,6110.61,58,1527.6525,152.76525,8.7,3,18,0,305.5305
624,7450.75,196,1862.6875,186.26875,29.4,2,11,0,186.26875
625,26992.7,13,13496.35,1349.635,3.25,4,7,1349.635,0
626,11631.16,115,5815.58,581.558,28.75,2,6,581.558,0
627,11551.16,15,5775.58,577.558,3.75,4,9,0,577.558
628,22472.25,28,11236.125,1123.6125,7,4,5,0,1123.6125
629,2010.2,150,502.55,50.255,22.5,1,10,0,50.255
630,13051.31,36,6525.655,652.5655,9,2,8,652.5655,0
631,29922.99,8,14961.495,1496.1495,2,2,6,1496.1495,0
632,680.07,10,170.0175,17.00175,1.5,3,17,0,34.0035
633,27422.74,23,13711.37,1371.137,5.75,5,8,1371.137,0
634,11961.2,25,5980.6,598.06,6.25,2,9,0,598.06
635,16011.6,10,8005.8,800.58,2.5,2,7,0,800.58
636,23232.32,80,11616.16,1161.616,20,5,10,0,1161.616
637,10361.04,57,5180.52,518.052,14.25,1,6,0,518.052
638,29432.94,10,14716.47,1471.647,2.5,5,5,1471.647,0
639,9840.98,62,2460.245,246.0245,9.3,4,15,0,492.049
640,29412.94,332,14706.47,1470.647,83,1,8,0,1470.647
641,11721.17,28,5860.585,586.0585,7,4,7,586.0585,0
642,11911.19,95,5955.595,595.5595,23.75,3,5,0,595.5595
643,21812.18,29,10906.09,1090.609,7.25,4,7,0,1090.609
644,9750.98,47,2437.745,243.7745,7.05,5,10,0,243.7745
645,23282.33,168,11641.165,1164.1165,42,1,6,1164.1165,0
646,27992.8,16,13996.4,1399.64,4,1,5,1399.64,0
647,290.03,22,72.5075,7.25075,3.3,1,15,0,7.25075
648,25942.59,32,12971.295,1297.1295,8,5,8,1297.1295,0
649,20712.07,23,10356.035,1035.6035,5.75,2,9,0,1035.6035
650,21322.13,35,10661.065,1066.1065,8.75,3,10,1066.1065,0
651,4190.42,114,1047.605,104.7605,17.1,2,15,0,209.521
652,7670.77,32,1917.6925,191.76925,4.8,5,12,0,191.76925
653,29642.96,90,14821.48,1482.148,22.5,1,7,1482.148,0
654,24072.41,27,12036.205,1203.6205,6.75,2,10,0,1203.6205
655,25872.59,68,12936.295,1293.6295,17,2,6,1293.6295,0
656,15251.53,70,7625.765,762.5765,17.5,3,9,762.5765,0
657,4580.46,8,1145.115,114.5115,1.2,5,11,0,114.5115
658,6360.64,15,1590.16,159.016,2.25,5,15,0,159.016
659,570.06,23,142.515,14.2515,3.45,5,15,0,14.2515
660,4910.49,6,1227.6225,122.76225,0.9,4,17,0,245.5245
661,2200.22,9,550.055,55.0055,1.35,4,19,0,110.011
662,26392.64,103,13196.32,1319.632,25.75,4,8,0,1319.632
663,5830.58,63,1457.645,145.7645,9.45,2,12,0,145.7645
664,6080.61,30,1520.1525,152.01525,4.5,5,13,0,152.01525
665,16601.66,113,8300.83,830.083,28.25,3,9,0,830.083
666,22432.24,41,11216.12,1121.612,10.25,5,8,1121.612,0
667,28262.83,38,14131.415,1413.1415,9.5,3,7,0,1413.1415
668,17581.76,8,8790.88,879.088,2,2,7,879.088,0
669,13561.36,144,6780.68,678.068,36,3,10,0,678.068
670,10911.09,93,5455.545,545.5545,23.25,1,6,0,545.5545
671,22482.25,151,11241.125,1124.1125,37.75,3,6,1124.1125,0
672,15701.57,8,7850.785,785.0785,2,2,7,785.0785,0
673,13721.37,11,6860.685,686.0685,2.75,3,7,0,686.0685
674,25002.5,10,12501.25,1250.125,2.5,1,5,0,1250.125
675,25182.52,252,12591.26,1259.126,63,3,7,0,1259.126
676,3930.39,26,982.5975,98.25975,3.9,4,11,0,98.25975
677,17481.75,39,8740.875,874.0875,9.75,4,6,0,874.0875
678,0,0,0,0,0,0,0,0,0
679,18961.9,26,9480.95,948.095,6.5,2,6,0,948.095
680,5720.57,25,1430.1425,143.01425,3.75,2,19,0,286.0285
681,26572.66,25,13286.33,1328.633,6.25,3,7,1328.633,0
682,80.01,10,20.0025,2.00025,1.5,2,16,0,4.0005
683,22872.29,103,11436.145,1143.6145,25.75,2,6,1143.6145,0
684,0,0,0,0,0,0,0,0,0
685,22822.28,63,11411.14,1141.114,15.75,3,6,1141.114,0
686,0,0,0,0,0,0,0,0,0
687,4980.5,258,1245.125,124.5125,38.7,5,13,0,124.5125
688,25792.58,125,12896.29,1289.629,31.25,3,9,0,1289.629
689,20152.02,37,10076.01,1007.601,9.25,4,9,0,1007.601
690,19351.94,105,9675.97,967.597,26.25,3,6,967.597,0
691,21632.16,139,10816.08,1081.608,34.75,5,5,1081.608,0
692,6260.63,153,1565.1575,156.51575,22.95,3,13,0,156.51575
693,19281.93,14,9640.965,964.0965,3.5,1,6,0,964.0965
694,2020.2,36,505.05,50.505,5.4,4,19,0,101.01
695,7940.79,65,1985.1975,198.51975,9.75,1,19,0,397.0395
696,10811.08,13,5405.54,540.554,3.25,2,8,0,540.554
697,7370.74,123,1842.685,184.2685,18.45,2,14,0,184.2685
698,14941.49,149,7470.745,747.0745,37.25,1,9,0,747.0745
699,21972.2,19,10986.1,1098.61,4.75,1,9,1098.61,0
700,4970.5,18,1242.625,124.2625,2.7,4,14,0,124.2625
701,1460.15,43,365.0375,36.50375,6.45,3,20,0,73.0075
702,11551.16,48,5775.58,577.558,12,2,8,0,577.558
703,11701.17,28,5850.585,585.0585,7,5,6,0,585.0585
704,17371.74,51,8685.87,868.587,12.75,2,6,868.587,0
705,370.04,28,92.51,9.251,4.2,1,17,0,18.502
706,0,0,0,0,0,0,0,0,0
707,18461.85,20,9230.925,923.0925,5,5,8,0,923.0925
708,29182.92,116,14591.46,1459.146,29,4,9,0,1459.146
709,28922.89,45,14461.445,1446.1445,11.25,2,9,0,1446.1445
710,27562.76,45,13781.38,1378.138,11.25,2,8,1378.138,0
711,10541.05,137,5270.525,527.0525,34.25,2,10,527.0525,0
712,23702.37,126,11851.185,1185.1185,31.5,5,6,1185.1185,0
713,0,0,0,0,0,0,0,0,0
714,12561.26,83,6280.63,628.063,20.75,4,9,0,628.063
715,2000.2,43,500.05,50.005,6.45,5,18,0,100.01
716,20412.04,80,10206.02,1020.602,20,3,10,0,1020.602
717,8320.83,55,2080.2075,208.02075,8.25,4,12,0,208.02075
718,14271.43,45,7135.715,713.5715,11.25,2,5,713.5715,0
719,21522.15,25,10761.075,1076.1075,6.25,5,9,0,1076.1075
720,9570.96,111,2392.74,239.274,16.65,3,16,0,478.548
721,19771.98,105,9885.99,988.599,26.25,3,8,0,988.599
722,22992.3,65,11496.15,1149.615,16.25,5,8,1149.615,0
723,21992.2,52,10996.1,1099.61,13,5,5,0,1099.61
724,29942.99,48,14971.495,1497.1495,12,5,8,1497.1495,0
725,12341.23,7,6170.615,617.0615,1.75,1,5,617.0615,0
726,27052.71,78,13526.355,1352.6355,19.5,1,7,0,1352.6355
727,7990.8,87,1997.7,199.77,13.05,4,13,0,199.77
728,5970.6,27,1492.65,149.265,4.05,5,19,0,298.53
729,27832.78,48,13916.39,1391.639,12,2,7,1391.639,0
730,29302.93,114,14651.465,1465.1465,28.5,3,9,0,1465.1465
731,22242.22,64,11121.11,1112.111,16,2,5,0,1112.111
732,14391.44,8,7195.72,719.572,2,4,10,0,719.572
733,29672.97,99,14836.485,1483.6485,24.75,1,5,1483.6485,0
734,19931.99,11,9965.995,996.5995,2.75,1,8,0,996.5995
735,16391.64,30,8195.82,819.582,7.5,4,5,819.582,0
736,26012.6,108,13006.3,1300.63,27,4,8,0,1300.63
737,22962.3,75,11481.15,1148.115,18.75,2,6,0,1148.115
738,13931.39,78,6965.695,696.5695,19.5,2,6,696.5695,0
739,8740.87,22,2185.2175,218.52175,3.3,5,15,0,218.52175
740,21942.19,256,10971.095,1097.1095,64,4,5,1097.1095,0
741,28422.84,113,14211.42,1421.142,28.25,3,7,0,1421.142
742,7700.77,43,1925.1925,192.51925,6.45,2,11,0,192.51925
743,14421.44,73,7210.72,721.072,18.25,5,8,0,721.072
744,20452.05,90,10226.025,1022.6025,22.5,4,10,1022.6025,0
745,16201.62,18,8100.81,810.081,4.5,1,10,810.081,0
746,29552.96,62,14776.48,1477.648,15.5,1,7,1477.648,0
747,1520.15,29,380.0375,38.00375,4.35,1,12,0,38.00375
748,17371.74,51,8685.87,868.587,12.75,4,8,0,868.587
749,0,0,0,0,0,0,0,0,0
750,18971.9,104,9485.95,948.595,26,3,5,0,948.595
751,170.02,10,42.505,4.2505,1.5,1,10,0,4.2505
752,15271.53,25,7635.765,763.5765,6.25,3,8,0,763.5765
753,29682.97,59,14841.485,1484.1485,14.75,4,8,1484.1485,0
754,18941.89,25,9470.945,947.0945,6.25,5,10,947.0945,0
755,26402.64,17,13201.32,1320.132,4.25,1,8,1320.132,0
756,410.04,208,102.51,10.251,31.2,5,12,0,10.251
757,23172.32,51,11586.16,1158.616,12.75,2,7,1158.616,0
758,4910.49,82,1227.6225,122.76225,12.3,3,20,0,245.5245
759,6690.67,43,1672.6675,167.26675,6.45,5,17,0,334.5335
760,6970.7,184,1742.675,174.2675,27.6,4,14,0,174.2675
761,6700.67,46,1675.1675,167.51675,6.9,4,16,0,335.0335
762,27282.73,93,13641.365,1364.1365,23.25,1,10,0,1364.1365
763,7720.77,9,1930.1925,193.01925,1.35,2,15,0,386.0385
764,0,0,0,0,0,0,0,0,0
765,26612.66,236,13306.33,1330.633,59,3,8,1330.633,0
766,7420.74,7,1855.185,185.5185,1.05,4,11,0,185.5185
767,25032.5,54,12516.25,1251.625,13.5,5,8,1251.625,0
768,20012,84,10006,1000.6,21,4,6,0,1000.6
769,2540.25,164,635.0625,63.50625,24.6,1,20,0,127.0125
770,12891.29,53,6445.645,644.5645,13.25,5,5,0,644.5645
771,6900.69,128,1725.1725,172.51725,19.2,5,13,0,172.51725
772,0,0,0,0,0,0,0,0,0
773,7120.71,20,1780.1775,178.01775,3,2,17,0,356.0355
774,21682.17,17,10841.085,1084.1085,4.25,1,5,0,1084.1085
775,27002.7,8,13501.35,1350.135,2,3,7,1350.135,0
776,690.07,112,172.5175,17.25175,16.8,1,13,0,17.25175
777,0,0,0,0,0,0,0,0,0
778,24392.44,60,12196.22,1219.622,15,3,8,0,1219.622
779,10361.04,72,5180.52,518.052,18,4,10,0,518.052
780,27392.74,51,13696.37,1369.637,12.75,3,8,1369.637,0
781,29732.97,35,14866.485,1486.6485,8.75,4,8,1486.6485,0
782,20442.04,100,10221.02,1022.102,25,2,10,0,1022.102
783,2000.2,65,500.05,50.005,9.75,4,20,0,100.01
784,19241.92,118,9620.96,962.096,29.5,3,10,962.096,0
785,17011.7,27,8505.85,850.585,6.75,5,5,0,850.585
786,10871.09,32,5435.545,543.5545,8,2,5,543.5545,0
787,21872.19,192,10936.095,1093.6095,48,4,6,0,1093.6095
788,8650.87,77,2162.7175,216.27175,11.55,5,13,0,216.27175
789,20862.09,19,10431.045,1043.1045,4.75,1,6,1043.1045,0
790,15321.53,6,7660.765,766.0765,1.5,4,7,0,766.0765
791,17491.75,106,8745.875,874.5875,26.5,3,10,874.5875,0
792,8580.86,37,2145.215,214.5215,5.55,4,17,0,429.043
793,11141.11,12,5570.555,557.0555,3,5,9,557.0555,0
794,2400.24,50,600.06,60.006,7.5,1,14,0,60.006
795,9900.99,8,2475.2475,247.52475,1.2,4,13,0,247.52475
796,5590.56,23,1397.64,139.764,3.45,1,14,0,139.764
797,29782.98,66,14891.49,1489.149,16.5,5,9,1489.149,0
798,27702.77,124,13851.385,1385.1385,31,5,10,0,1385.1385
799,0,0,0,0,0,0,0,0,0
800,30003,160,15001.5,1500.15,40,1,9,1500.15,0
801,2840.28,24,710.07,71.007,3.6,4,20,0,142.014
802,22462.25,43,11231.125,1123.1125,10.75,5,8,0,1123.1125
803,1030.1,83,257.525,25.7525,12.45,1,18,0,51.505
804,3760.38,5,940.095,94.0095,0.75,1,20,0,188.019
805,20892.09,106,10446.045,1044.6045,26.5,3,6,0,1044.6045
806,37003.7,262,18501.85,1850.185,65.5,5,8,0,1850.185
807,22202.22,82,11101.11,1110.111,20.5,2,6,1110.111,0
808,11721.17,5,5860.585,586.0585,1.25,2,7,0,586.0585
809,32003.2,99,16001.6,1600.16,24.75,3,8,0,1600.16
810,39003.9,26,19501.95,1950.195,6.5,3,6,1950.195,0
811,59005.9,154,29502.95,2950.295,38.5,1,9,0,2950.295
812,43004.3,61,21502.15,2150.215,15.25,3,8,2150.215,0
813,39003.9,35,19501.95,1950.195,8.75,1,10,0,1950.195
814,14001.4,9,7000.7,700.07,2.25,4,7,0,700.07
815,59005.9,38,29502.95,2950.295,9.5,4,7,0,2950.295
816,28452.85,106,14226.425,1422.6425,26.5,4,7,1422.6425,0
817,13961.4,96,6980.7,698.07,24,1,6,698.07,0
818,21002.1,6,10501.05,1050.105,1.5,3,8,0,1050.105
819,29492.95,13,14746.475,1474.6475,3.25,5,10,0,1474.6475
820,14001.4,88,7000.7,700.07,22,4,8,700.07,0
821,6780.68,132,1695.17,169.517,19.8,5,10,0,169.517
822,11811.18,5,5905.59,590.559,1.25,2,9,0,590.559
823,3670.37,25,917.5925,91.75925,3.75,1,19,0,183.5185
824,14161.42,214,7080.71,708.071,53.5,5,5,0,708.071
825,2000.2,100,500.05,50.005,15,5,12,0,50.005
826,2000.2,40,500.05,50.005,6,1,11,0,50.005
827,2000.2,6,500.05,50.005,0.9,1,13,0,50.005
828,2000.2,49,500.05,50.005,7.35,5,12,0,50.005
829,1000.1,43,250.025,25.0025,6.45,5,12,0,25.0025
830,28112.81,17,14056.405,1405.6405,4.25,4,5,0,1405.6405
831,12401.24,89,6200.62,620.062,22.25,1,10,620.062,0
832,12231.22,45,6115.61,611.561,11.25,3,7,0,611.561
833,12861.29,18,6430.645,643.0645,4.5,5,10,643.0645,0
834,2330.23,23,582.5575,58.25575,3.45,1,10,0,58.25575
835,5030.5,76,1257.625,125.7625,11.4,4,15,0,125.7625
836,21412.14,85,10706.07,1070.607,21.25,1,5,0,1070.607
837,3010.3,37,752.575,75.2575,5.55,1,18,0,150.515
838,20922.09,9,10461.045,1046.1045,2.25,1,9,0,1046.1045
839,3300.33,40,825.0825,82.50825,6,5,11,0,82.50825
840,18601.86,8,9300.93,930.093,2,1,5,930.093,0
841,20832.08,117,10416.04,1041.604,29.25,1,8,1041.604,0
842,21642.16,87,10821.08,1082.108,21.75,5,5,0,1082.108
843,13351.34,8,6675.67,667.567,2,5,5,667.567,0
